,City,Employers,Jobs
199,San Francisco,Plexuss,2
200,New York,WW International,2
201,San Francisco,Sonder,2
202,San Francisco,Sony PlayStation,2
203,San Francisco,Spotify,2
204,New York,VTS,2
205,New York,VMLY&R,2
206,New York,Weber Shandwick,2
207,San Francisco,On Board Experiential Marketing,2
208,San Francisco,Amazon,2
209,San Francisco,Amyris,2
210,San Francisco,Citrine Informatics,2
211,San Francisco,Instacart,2
212,San Francisco,Datatron Technologies,2
213,San Francisco,Dell Technologies,2
214,San Francisco,IDEO,2
215,San Francisco,Hired Recruiters,2
216,San Francisco,Hinge Health,2
217,San Francisco,Grand Rounds,2
218,San Francisco,Delta Dental,2
219,San Francisco,GENENTECH,2
220,San Francisco,Flexport,2
221,San Francisco,Fanatics,2
222,San Francisco,Faire,2
223,San Francisco,Epic,2
224,San Francisco,Dropbox,2
225,San Francisco,Catholic Health Initiatives,2
226,San Francisco,Carpenter/Robbins Commercial Real Estate,2
227,San Francisco,Invitae,2
228,San Francisco,NorthOne,2
229,San Francisco,PPD,2
230,San Francisco,Oxygen,2
231,San Francisco,"Operating Company SLEDGEHAMMER GAMES, INC.",2
232,San Francisco,Emendata,2
233,San Francisco,Ascent Services Group,2
234,San Francisco,Notion,2
235,San Francisco,Nomis Solutions,2
236,San Francisco,Capital One,2
237,San Francisco,Brightidea,2
238,San Francisco,Noah,2
239,San Francisco,NinthDecimal,2
240,San Francisco,Ngm Biopharmaceuticals,2
241,San Francisco,Lawrence Berkeley National Laboratory,2
242,San Francisco,Kaiser Permanente,2
243,New York,Triplebyte,2
244,Washington,Øptimus Consulting,2
245,New York,Thermo Fisher Scientific,2
246,Chicago,dunnhumby,2
247,Chicago,Salesforce,2
248,Chicago,Sky Consulting Inc,2
249,Chicago,"Smart Synergies, Inc.",2
250,Chicago,TIAA,2
251,Chicago,Tegus,2
252,Chicago,ThinkMarkets - North America,2
253,Chicago,Uline,2
254,Chicago,VIVA USA,2
255,Chicago,Valkyrie Trading,2
256,Chicago,VillageMD,2
257,Chicago,Wavicle Data Solutions LLC,2
258,Chicago,Waystar,2
259,Chicago,bswift,2
260,Chicago,divvyDOSE,2
261,Indianapolis,Anthem,2
262,New York,Akur8,2
263,Indianapolis,Crowe,2
264,Indianapolis,Delta Faucet Company,2
265,Indianapolis,Elanco,2
266,Indianapolis,Finish Line,2
267,Indianapolis,Internal Revenue Service,2
268,Indianapolis,Masco,2
269,Indianapolis,"MiraVista Diagnostics, LLC",2
270,Indianapolis,MuleSoft,2
271,Indianapolis,Navient,2
272,Indianapolis,POLARIS Laboratories,2
273,Indianapolis,Platinum Group,2
274,Indianapolis,SpringML,2
275,New York,1stopbedrooms,2
276,New York,Advance Local,2
277,Chicago,Sagence,2
278,Chicago,RiverPoint,2
279,Chicago,PPD,2
280,Chicago,Old Mission Capital,2
281,Chicago,American Cancer Society,2
282,Chicago,Ann & Robert H. Lurie Children's Hospital of Chicago,2
283,Chicago,Apex Systems,2
284,Chicago,Balyasny Asset Management,2
285,Chicago,CGN Global,2
286,Chicago,"CTI Clinical Trial Services, Inc",2
287,Chicago,Chowbus,2
288,Chicago,Deloitte,2
289,Chicago,Early Warning Services,2
290,Chicago,Environmental Law and Policy Center,2
291,Chicago,Farmers Insurance,2
292,Chicago,Google,2
293,Chicago,Green Key Technologies ,2
294,Chicago,Groupon,2
295,Chicago,Grubhub,2
296,Chicago,Guaranteed Rate,2
297,Chicago,Hyatt Corporate Office,2
298,Chicago,IBM,2
299,Chicago,IFG Companies,2
300,Chicago,Invenergy,2
301,Chicago,Kforce,2
302,Chicago,M1 Holdings,2
303,Chicago,Mars,2
304,Chicago,Maven Wave Partners,2
305,Chicago,McDonald's Corporate,2
306,Chicago,McKinsey & Company,2
307,Chicago,Morningstar,2
308,Chicago,NORC at the University of Chicago,2
309,Chicago,Northwestern University,2
310,New York,Agoda,2
311,New York,AlphaSense,2
312,New York,The Trade Desk,2
313,New York,Patreon,2
314,New York,Kettle,2
315,New York,KeyBank,2
316,New York,Kforce,2
317,New York,Konrad,2
318,New York,Lorven Technologies Inc,2
319,New York,McCann Worldgroup,2
320,New York,Mount Sinai Health System,2
321,New York,Multimedia Solutions,2
322,New York,National Football League,2
323,New York,NewtonX,2
324,New York,No Limit Technology,2
325,New York,Noom US,2
326,New York,OkCupid,2
327,New York,"PTC Therapeutics, Inc.",2
328,New York,PreciseSource,2
329,New York,Aptus Health,2
330,New York,Quartet Health,2
331,New York,RXR Construction Services LLC,2
332,New York,Rose Digital,2
333,New York,SADA,2
334,New York,Saks Fifth Avenue,2
335,New York,Salesforce,2
336,New York,Sidewalk Labs,2
337,New York,Sionic,2
338,New York,Squarespace,2
339,New York,Synechron,2
340,New York,TEEMA,2
341,New York,Talent Inc.,2
342,New York,Talkspace,2
343,New York,The Knot Worldwide,2
344,New York,J.P. Morgan,2
345,New York,Internal Revenue Service,2
346,New York,Intelligent Business Platforms LLC,2
347,New York,ION Group,2
348,New York,"Attorney General, Office of the",2
349,New York,BD,2
350,New York,BayBridgeDigital,2
351,New York,Biz2Credit Inc,2
352,New York,Blend360,2
353,New York,Boehringer Ingelheim,2
354,New York,Bombas,2
355,New York,BrainPOP,2
356,New York,Buoy Health,2
357,New York,CIA,2
358,New York,CUNY (City University of New York),2
359,New York,CVS Health,2
360,New York,Capital One - US,2
361,New York,Citadel Securities,2
362,New York,Colgate-Palmolive,2
363,New York,Crossix Solutions,2
364,New York,Dataiku,2
365,New York,Dataminr,2
